  4%|▎         | 21/592 [00:07<01:27,  6.50it/s, num_gaussians: 418359 | tracking_loss: 10516.7031 | mapping_loss: 0.0735]
  4%|▎         | 22/592 [00:08<01:28,  6.45it/s, num_gaussians: 418359 | tracking_loss: 10516.7031 | mapping_loss: 0.0735]
  4%|▎         | 22/592 [00:08<01:28,  6.45it/s, num_gaussians: 428497 | tracking_loss: 9990.2520 | mapping_loss: 0.0279] 
  4%|▍         | 23/592 [00:08<01:27,  6.53it/s, num_gaussians: 428497 | tracking_loss: 9990.2520 | mapping_loss: 0.0279]
  4%|▍         | 23/592 [00:08<01:27,  6.53it/s, num_gaussians: 438846 | tracking_loss: 7958.1152 | mapping_loss: 0.0312]
  4%|▍         | 24/592 [00:08<01:26,  6.54it/s, num_gaussians: 438846 | tracking_loss: 7958.1152 | mapping_loss: 0.0312]
  4%|▍         | 24/592 [00:08<01:26,  6.54it/s, num_gaussians: 448040 | tracking_loss: 10510.2920 | mapping_loss: 0.0765]
  4%|▍         | 25/592 [00:08<01:26,  6.58it/s, num_gaussians: 448040 | tracking_loss: 10510.2920 | mapping_loss: 0.0765]
  4%|▍         | 25/592 [00:08<01:26,  6.58it/s, num_gaussians: 461426 | tracking_loss: 9470.8691 | mapping_loss: 0.0502] 
  4%|▍         | 26/592 [00:08<01:25,  6.58it/s, num_gaussians: 461426 | tracking_loss: 9470.8691 | mapping_loss: 0.0502]
  4%|▍         | 26/592 [00:08<01:25,  6.58it/s, num_gaussians: 473549 | tracking_loss: 15579.3350 | mapping_loss: 0.0675]
  5%|▍         | 27/592 [00:08<01:25,  6.59it/s, num_gaussians: 473549 | tracking_loss: 15579.3350 | mapping_loss: 0.0675]
  5%|▍         | 27/592 [00:08<01:25,  6.59it/s, num_gaussians: 487168 | tracking_loss: 12031.3252 | mapping_loss: 0.0553]
  5%|▍         | 28/592 [00:08<01:26,  6.55it/s, num_gaussians: 487168 | tracking_loss: 12031.3252 | mapping_loss: 0.0553]
  5%|▍         | 28/592 [00:08<01:26,  6.55it/s, num_gaussians: 501433 | tracking_loss: 12465.8633 | mapping_loss: 0.0832]
  5%|▍         | 29/592 [00:09<01:27,  6.46it/s, num_gaussians: 501433 | tracking_loss: 12465.8633 | mapping_loss: 0.0832]
  5%|▍         | 29/592 [00:09<01:27,  6.46it/s, num_gaussians: 515532 | tracking_loss: 12722.8154 | mapping_loss: 0.0567]
  5%|▌         | 30/592 [00:09<01:26,  6.46it/s, num_gaussians: 515532 | tracking_loss: 12722.8154 | mapping_loss: 0.0567]
  5%|▌         | 30/592 [00:09<01:26,  6.46it/s, num_gaussians: 522098 | tracking_loss: 13685.7822 | mapping_loss: 0.0446]
  5%|▌         | 31/592 [00:09<01:26,  6.47it/s, num_gaussians: 522098 | tracking_loss: 13685.7822 | mapping_loss: 0.0446]
  5%|▌         | 31/592 [00:09<01:26,  6.47it/s, num_gaussians: 531945 | tracking_loss: 11215.2373 | mapping_loss: 0.0573]
  5%|▌         | 32/592 [00:09<01:26,  6.46it/s, num_gaussians: 531945 | tracking_loss: 11215.2373 | mapping_loss: 0.0573]
  5%|▌         | 32/592 [00:09<01:26,  6.46it/s, num_gaussians: 542124 | tracking_loss: 12170.8281 | mapping_loss: 0.0829]
  6%|▌         | 33/592 [00:09<01:26,  6.47it/s, num_gaussians: 542124 | tracking_loss: 12170.8281 | mapping_loss: 0.0829]
  6%|▌         | 33/592 [00:09<01:26,  6.47it/s, num_gaussians: 549091 | tracking_loss: 10754.2520 | mapping_loss: 0.0353]
  6%|▌         | 34/592 [00:09<01:26,  6.45it/s, num_gaussians: 549091 | tracking_loss: 10754.2520 | mapping_loss: 0.0353]
  6%|▌         | 34/592 [00:09<01:26,  6.45it/s, num_gaussians: 560386 | tracking_loss: 9488.6533 | mapping_loss: 0.0609] 
  6%|▌         | 35/592 [00:10<01:26,  6.47it/s, num_gaussians: 560386 | tracking_loss: 9488.6533 | mapping_loss: 0.0609]
  6%|▌         | 35/592 [00:10<01:26,  6.47it/s, num_gaussians: 571982 | tracking_loss: 11368.5693 | mapping_loss: 0.0494]
  6%|▌         | 36/592 [00:10<01:26,  6.46it/s, num_gaussians: 571982 | tracking_loss: 11368.5693 | mapping_loss: 0.0494]
  6%|▌         | 36/592 [00:10<01:26,  6.46it/s, num_gaussians: 577134 | tracking_loss: 11066.6045 | mapping_loss: 0.0344]
  6%|▋         | 37/592 [00:10<01:27,  6.38it/s, num_gaussians: 577134 | tracking_loss: 11066.6045 | mapping_loss: 0.0344]
